organisms,Organism Groups,Assembly,Size(Mb),GC%
Desulfovibrio oxyclinae DSM 11498,Bacteria;Proteobacteria;delta/epsilon subdivisions,GCA_000375485.1,3.32458,59.1
Kordiimonas gwangyangensis DSM 19435 = JCM 12864,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000375545.1,4.08225,57.5
Pseudaminobacter salicylatoxidans,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_003148475.1,4.8368,62.7
Prevotella conceptionensis 9403948,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_000312305.1,4.08012,46.9
Aureimonas ureilytica DSM 18598 = NBRC 106430,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000382705.1,5.08718,67.3
Yersinia massiliensis,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_011765335.1,4.80716,47.6
Sulfuricella denitrificans skB26,Bacteria;Proteobacteria;Betaproteobacteria,GCA_000297055.2,3.21721,56.1162
Methanobacterium formicicum,Archaea;Euryarchaeota;Methanomada group,GCA_001458655.1,2.49451,41.1
Pedobacter arcticus A12,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_000302595.1,4.22892,36.9
Pseudomonas luteola NBRC 103146,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_002091675.1,5.39528,55.3
Nocardia asteroides,Bacteria;Terrabacteria group;Actinobacteria,GCA_900637185.1,6.98336,69.9
Aeromonas media,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_006246425.1,4.56366,62.3
Sphingobium fuliginis,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_004152845.1,4.59564,64.9
Butyricicoccus pullicaecorum,Bacteria;Terrabacteria group;Firmicutes,GCA_900143195.1,3.28449,54.1
Parabacteroides gordonii MS-1 = DSM 23371,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_000969825.1,6.79335,44.5
Alistipes onderdonkii subsp. vulgaris,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_006542645.1,3.50749,58
Thalassolituus oleivorans MIL-1,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000355675.1,3.92033,46.6
Idiomarina xiamenensis 10-D-4,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000299895.1,2.89928,49.5
Oceanibaculum indicum,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_003633955.1,3.85383,65.5
Salipiger thiooxidans,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_900102075.1,5.87137,67.3
Celeribacter baekdonensis,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_900102315.1,4.44262,58.1
Cellvibrio mixtus,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_002268635.1,4.77389,49.3
Nocardia aobensis NBRC 100429,Bacteria;Terrabacteria group;Actinobacteria,GCA_000308375.1,7.54806,68
Nocardia asiatica NBRC 100129,Bacteria;Terrabacteria group;Actinobacteria,GCA_000308415.1,8.46132,68.4
Nocardia araoensis NBRC 100135,Bacteria;Terrabacteria group;Actinobacteria,GCA_000308435.1,7.72254,68.4
Nocardia abscessus NBRC 100374,Bacteria;Terrabacteria group;Actinobacteria,GCA_000308455.1,8.4104,68.2
Nocardia brevicatena NBRC 12119,Bacteria;Terrabacteria group;Actinobacteria,GCA_000308495.1,7.00717,67
Nocardia cerradoensis,Bacteria;Terrabacteria group;Actinobacteria,GCA_012396065.1,7.63579,68.2
Nocardia exalbida NBRC 100660,Bacteria;Terrabacteria group;Actinobacteria,GCA_000308575.1,7.36799,68.6
Nocardia higoensis NBRC 100133,Bacteria;Terrabacteria group;Actinobacteria,GCA_000308595.1,6.98071,69.3
Nocardia jiangxiensis NBRC 101359,Bacteria;Terrabacteria group;Actinobacteria,GCA_000308615.1,10.4459,66.8
Nocardia carnea,Bacteria;Terrabacteria group;Actinobacteria,GCA_000717405.1,7.50379,67.1
Nocardia otitidiscaviarum,Bacteria;Terrabacteria group;Actinobacteria,GCA_007362295.1,7.68758,69.1
Nocardia niigatensis NBRC 100131,Bacteria;Terrabacteria group;Actinobacteria,GCA_000308655.1,8.22421,68.2
Nocardia paucivorans NBRC 100373,Bacteria;Terrabacteria group;Actinobacteria,GCA_000308675.1,6.00107,66.6
Nocardia takedensis NBRC 100417,Bacteria;Terrabacteria group;Actinobacteria,GCA_000308695.1,8.03387,69.5
Nocardia tenerifensis,Bacteria;Terrabacteria group;Actinobacteria,GCA_003202065.1,9.84041,68.5
Nocardia pneumoniae NBRC 100136,Bacteria;Terrabacteria group;Actinobacteria,GCA_000308755.1,7.5882,68.1
Nocardia terpenica,Bacteria;Terrabacteria group;Actinobacteria,GCA_002568625.1,8.91854,68.4984
Nocardia testacea NBRC 100365,Bacteria;Terrabacteria group;Actinobacteria,GCA_000308775.1,7.26841,68.5
Nocardia thailandica NBRC 100428,Bacteria;Terrabacteria group;Actinobacteria,GCA_000308795.1,6.82183,71.6
Nocardia concava NBRC 100430,Bacteria;Terrabacteria group;Actinobacteria,GCA_000308815.1,8.93335,67.7
Nocardia vinacea NBRC 16497,Bacteria;Terrabacteria group;Actinobacteria,GCA_000308835.1,10.1553,65.5
Nocardia veterana NBRC 100344,Bacteria;Terrabacteria group;Actinobacteria,GCA_000308855.1,6.78521,68.2
Gordonia namibiensis NBRC 108229,Bacteria;Terrabacteria group;Actinobacteria,GCA_000298235.1,4.94161,67.6
Piscicoccus intestinalis NBRC 104926,Bacteria;Terrabacteria group;Actinobacteria,GCA_001515525.1,4.71321,71.8
Nocardia transvalensis NBRC 15921,Bacteria;Terrabacteria group;Actinobacteria,GCA_000308875.1,8.3833,69.2
Gordonia hirsuta DSM 44140 = NBRC 16056,Bacteria;Terrabacteria group;Actinobacteria,GCA_000333015.1,3.48946,68.4
Veillonella ratti,Bacteria;Terrabacteria group;Firmicutes,GCA_003992115.1,2.23629,42.8
Bacillus nealsonii,Bacteria;Terrabacteria group;Firmicutes,GCA_002835805.1,4.69149,34.6
Janibacter hoylei PVAS-1,Bacteria;Terrabacteria group;Actinobacteria,GCA_004025845.1,3.10591,71.4
Halogranum salarium B-1,Archaea;Euryarchaeota;Stenosarchaea group,GCA_000283335.1,4.49231,62.2
Clostridium sartagoforme,Bacteria;Terrabacteria group;Firmicutes,GCA_004794105.1,3.75375,28.6
Pseudomonas psychrophila,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_011040435.1,5.31392,57.4
Parageobacillus caldoxylosilyticus CIC9,Bacteria;Terrabacteria group;Firmicutes,GCA_000313345.1,3.82655,44.2
Clostridium tyrobutyricum,Bacteria;Terrabacteria group;Firmicutes,GCA_001642655.1,3.13444,31.0298
Burkholderia pyrrocinia,Bacteria;Proteobacteria;Betaproteobacteria,GCA_003330765.1,8.0044,66.3262
Nocardia amamiensis NBRC 102102,Bacteria;Terrabacteria group;Actinobacteria,GCA_001612745.1,8.24302,67.4
Nocardia beijingensis NBRC 16342,Bacteria;Terrabacteria group;Actinobacteria,GCA_001612785.1,7.47784,68.9
Nocardia fluminea,Bacteria;Terrabacteria group;Actinobacteria,GCA_002846365.1,8.0577,67.5
Nocardia kruczakiae NBRC 101016,Bacteria;Terrabacteria group;Actinobacteria,GCA_001612965.1,7.32438,68
Nocardia nova SH22a,Bacteria;Terrabacteria group;Actinobacteria,GCA_000523235.1,8.34853,67.8
Nocardia africana NBRC 100379,Bacteria;Terrabacteria group;Actinobacteria,GCA_001612635.1,7.81098,67.9
Nocardia jejuensis NBRC 103114,Bacteria;Terrabacteria group;Actinobacteria,GCA_001613145.1,8.6542,67.6
Nocardia pseudovaccinii NBRC 100343,Bacteria;Terrabacteria group;Actinobacteria,GCA_001613225.1,9.93851,65.7
Nocardia seriolae,Bacteria;Terrabacteria group;Actinobacteria,GCA_000763165.1,7.70809,68.3
Nocardia salmonicida NBRC 100378,Bacteria;Terrabacteria group;Actinobacteria,GCA_001612865.1,7.50065,67.1
Nocardia vaccinii NBRC 15922,Bacteria;Terrabacteria group;Actinobacteria,GCA_001613305.1,9.22404,66.7
Nocardia uniformis NBRC 13702,Bacteria;Terrabacteria group;Actinobacteria,GCA_001613345.1,8.76666,66
Nocardia xishanensis NBRC 101358,Bacteria;Terrabacteria group;Actinobacteria,GCA_001613365.1,7.69494,68.4
Planococcus halocryophilus,Bacteria;Terrabacteria group;Firmicutes,GCA_001687585.2,3.42489,40.1
Vibrio marisflavi,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_003263805.1,4.68835,42.2
Vibrio aerogenes CECT 7868,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_900130105.1,5.25026,45.7
Pseudoalteromonas ruthenica,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000967625.1,4.06663,47.4
Mycolicibacterium fortuitum,Bacteria;Terrabacteria group;Actinobacteria,GCA_013138535.1,6.55977,66.1
Amphibacillus jilinensis Y1,Bacteria;Terrabacteria group;Firmicutes,GCA_000306965.1,3.8366,37.3
Pseudomonas alcaligenes,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001597285.1,4.4063,65.5
Pseudomonas azotoformans,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_900103345.1,6.72739,61
Pseudomonas citronellolis,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001586155.1,6.95144,67.1
Pseudomonas cremoricolorata,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000759535.1,4.7804,63.2
Pseudomonas flavescens,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_013408425.1,5.95188,62.2
Pseudomonas japonica NBRC 103040 = DSM 22348,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000730585.1,6.66313,64.2
Pseudomonas indica NBRC 103045,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_002091635.1,5.78788,64.1
Pseudomonas jinjuensis,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_900103845.1,5.86867,66.4
Pseudomonas migulae,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_900106025.1,6.78231,59.1
Pseudomonas mucidolens,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_900106045.1,5.85317,59.1
Pseudomonas nitroreducens,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_005796065.1,6.70753,65.5
Pseudomonas oryzihabitans,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_007665635.1,4.98628,66.2
Pseudomonas parafulva,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_003410295.1,5.20848,63.4
Pseudomonas plecoglossicida,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_003062165.1,5.80631,63
Pseudomonas straminea,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_900112645.1,4.9922,63.2
Helicobacter heilmannii,Bacteria;Proteobacteria;delta/epsilon subdivisions,GCA_001283065.1,1.63899,47.7
Edwardsiella hoshinae,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001761405.1,3.81165,56.9
Elizabethkingia meningoseptica,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_900475375.1,3.87479,36.5
Janibacter anophelis NBRC 107843,Bacteria;Terrabacteria group;Actinobacteria,GCA_001570945.1,3.30861,71.3
Janibacter corallicola NBRC 107790,Bacteria;Terrabacteria group;Actinobacteria,GCA_001570965.1,3.10858,71.4
Janibacter limosus,Bacteria;Terrabacteria group;Actinobacteria,GCA_004295485.1,3.54525,70.4
Janibacter melonis,Bacteria;Terrabacteria group;Actinobacteria,GCA_003721155.4,3.48107,72.9187
Arthrobacter luteolus,Bacteria;Terrabacteria group;Actinobacteria,GCA_008973725.1,3.87452,66
Arthrobacter woluwensis,Bacteria;Terrabacteria group;Actinobacteria,GCA_003024475.1,3.64662,68.5
Glutamicibacter mysorens,Bacteria;Terrabacteria group;Actinobacteria,GCA_002797775.1,3.45973,62
Cedecea neteri,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000758305.1,4.96544,54.4
Xanthomonas cassavae CFBP 4642,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000454545.1,5.27076,65.141
Paraburkholderia acidipaludis NBRC 101816,Bacteria;Proteobacteria;Betaproteobacteria,GCA_000684975.1,6.47543,65.2
Paraburkholderia bannensis NBRC 103871,Bacteria;Proteobacteria;Betaproteobacteria,GCA_000685015.1,8.64877,64
Paraburkholderia ferrariae NBRC 106233,Bacteria;Proteobacteria;Betaproteobacteria,GCA_000685035.1,7.93864,64.8
Paraburkholderia fungorum,Bacteria;Proteobacteria;Betaproteobacteria,GCA_900099835.1,8.58117,61.2
Paraburkholderia ginsengisoli NBRC 100965,Bacteria;Proteobacteria;Betaproteobacteria,GCA_000739735.1,6.54189,63.6
Paraburkholderia heleia NBRC 101817,Bacteria;Proteobacteria;Betaproteobacteria,GCA_000739775.1,8.00747,64.6
Paraburkholderia kururiensis M130,Bacteria;Proteobacteria;Betaproteobacteria,GCA_000341045.1,7.12886,65
Paraburkholderia oxyphila NBRC 105797,Bacteria;Proteobacteria;Betaproteobacteria,GCA_000685075.1,10.6477,64.1
Citrobacter sedlakii NBRC 105722,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000759835.1,4.63147,54.7
Enterococcus pseudoavium NBRC 100491,Bacteria;Terrabacteria group;Firmicutes,GCA_001544295.1,2.73187,40.1
Serratia grimesii,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_900186025.1,5.09082,52.8
Serratia rubidaea,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001572725.1,4.92283,59.2
Chryseobacterium indologenes,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_900460995.1,4.92969,37.2
Empedobacter brevis,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_009834475.1,3.79492,32.8
Kluyvera cryocrescens,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001266615.1,4.74267,53.4
Kluyvera intermedia,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_009649915.1,4.93853,52.2865
Paraburkholderia caledonica,Bacteria;Proteobacteria;Betaproteobacteria,GCA_000383275.1,7.38182,61.9
Sphingopyxis macrogoltabida,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_001314325.1,5.74862,64.8131
Rhodococcus coprophilus,Bacteria;Terrabacteria group;Actinobacteria,GCA_900478115.1,4.57983,66.8
Rhodococcus corynebacterioides NBRC 14404,Bacteria;Terrabacteria group;Actinobacteria,GCA_001894765.1,3.97737,70.3
Rhodococcus globerulus,Bacteria;Terrabacteria group;Actinobacteria,GCA_003097035.1,6.77108,61.7
Rhodococcus maanshanensis NBRC 100610,Bacteria;Terrabacteria group;Actinobacteria,GCA_001894865.1,5.67371,69.2
Rhodococcus marinonascens NBRC 14363,Bacteria;Terrabacteria group;Actinobacteria,GCA_001894885.1,4.92441,64.4
Rhodococcus koreensis,Bacteria;Terrabacteria group;Actinobacteria,GCA_900105905.1,10.3116,67.4
Rhodococcus rhodnii,Bacteria;Terrabacteria group;Actinobacteria,GCA_008011915.1,4.4918,69.6
Rhodococcus triatomae,Bacteria;Terrabacteria group;Actinobacteria,GCA_900099725.1,4.7345,68.7
Rhodococcus tukisamuensis,Bacteria;Terrabacteria group;Actinobacteria,GCA_900101735.1,5.48901,69.8
Rhodococcus yunnanensis NBRC 103083,Bacteria;Terrabacteria group;Actinobacteria,GCA_001895005.1,6.37393,63.9
Rhodococcus zopfii,Bacteria;Terrabacteria group;Actinobacteria,GCA_006148895.1,5.83218,68.3
Comamonas aquatica DA1877,Bacteria;Proteobacteria;Betaproteobacteria,GCA_000590985.1,3.95606,64.8
Comamonas terrigena,Bacteria;Proteobacteria;Betaproteobacteria,GCA_002554425.1,4.71023,65
Novosphingobium lentum NBRC 107847,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_001590965.1,4.40785,65.7
Novosphingobium naphthalenivorans NBRC 102051,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_001590985.1,5.23609,63.8
Novosphingobium tardaugens NBRC 16725,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000466945.1,4.29151,61.3
Sphingomonas adhaesiva,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_002374855.1,3.76024,69.1
Sphingomonas aquatilis NBRC 16722,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_007990915.1,3.93233,67.1
Sphingomonas asaccharolytica NBRC 15499,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_001598355.1,4.6088,64.6
Sphingomonas azotifigens NBRC 15497,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_002091475.1,5.14574,67.3
Novosphingobium capsulatum NBRC 12533,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_001598375.1,4.83645,65.7
Sphingomonas changbaiensis NBRC 104936,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000974765.1,3.21738,66.3
Sphingobium abikonense NBRC 16140,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_001598335.1,3.74928,63.5
Sphingobium herbicidovorans,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_002080435.1,4.2408,62.4912
Sphingomonas koreensis,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_001922385.1,4.81924,65.9451
Sphingomonas mali NBRC 15500,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_001598415.1,5.22838,64.9
Sphingomonas parapaucimobilis NBRC 15100,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000787715.1,3.99452,66.4
Sphingomonas paucimobilis,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_003314795.2,4.00551,65.7
Sphingomonas pituitosa NBRC 102491,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_001598435.1,4.74316,67.1
Sphingomonas pruni NBRC 15498,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_001598455.1,4.48234,64.8
Novosphingobium rosa NBRC 15208,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_001598555.1,6.95276,64.5
Sphingomonas sanguinis NBRC 13937,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_001591005.1,4.05309,66.1
Sphingomonas soli NBRC 100801,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_001591025.1,3.5141,65.1
Novosphingobium subterraneum NBRC 16086,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_001598575.1,4.70017,63.3
Sphingomonas trueperi,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_006716975.1,4.74818,66.9
Sphingopyxis granuli,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_001956775.1,4.59072,62.8
Vibrio superstes,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_003569005.1,4.71858,44.6
Vibrio sagamiensis NBRC 104589,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_007990935.1,4.4766,40.6
Vibrio proteolyticus NBRC 13287,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000467125.1,4.74554,50
Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001456255.1,5.17515,45.0766
Vibrio nereis NBRC 15637,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001591105.1,4.08558,45.4
Vibrio mediterranei,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_013364395.1,5.6512,44.1
Vibrio inusitatus NBRC 102082,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_006538525.1,4.34871,42.9
Vibrio halioticoli,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_003568965.1,4.09251,42.9
Vibrio gazogenes,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_002196515.1,4.78655,45.3086
Vibrio aestuarianus,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_011090235.1,4.1492,42.6
Vibrio azureus,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_002849855.1,4.8339,42.2902
Vibrio comitans NBRC 102076,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_006538565.1,4.43421,44
Vibrio ezurae,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_003568985.1,3.71363,43.3
Pseudothermotoga elfii DSM 9442 = NBRC 107921,Bacteria;Thermotogae;Thermotogae,GCA_000504085.1,2.16986,38.7
Pseudothermotoga hypogea DSM 11164 = NBRC 106472,Bacteria;Thermotogae;Thermotogae,GCA_000504105.1,2.16517,49.5
Lelliottia amnigena,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001652505.2,4.61612,54.3
Thauera butanivorans NBRC 103042,Bacteria;Proteobacteria;Betaproteobacteria,GCA_001591165.1,4.80654,66.1
Pluralibacter gergoviae,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000757785.1,5.48968,59.1
Erwinia persicina NBRC 102418,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001571305.1,4.90577,55.4
Millisia brevis NBRC 105863,Bacteria;Terrabacteria group;Actinobacteria,GCA_001552615.1,5.64634,69.2
Williamsia muralis,Bacteria;Terrabacteria group;Actinobacteria,GCA_003634525.1,5.40153,64.8
Actinomadura chibensis,Bacteria;Terrabacteria group;Actinobacteria,GCA_008085895.1,9.40652,72.8
Paenibacillus alginolyticus DSM 5050 = NBRC 15375,Bacteria;Terrabacteria group;Firmicutes,GCA_004000725.1,8.23502,44.8
Actinomadura formosensis,Bacteria;Terrabacteria group;Actinobacteria,GCA_900659625.1,7.12467,71.5
Paenibacillus chitinolyticus,Bacteria;Terrabacteria group;Firmicutes,GCA_004117095.1,6.50909,52.4
Actinomadura hibisca NBRC 15177,Bacteria;Terrabacteria group;Actinobacteria,GCA_001552635.1,9.02397,72.4
Paenibacillus chondroitinus NBRC 15376,Bacteria;Terrabacteria group;Firmicutes,GCA_004000765.1,7.88487,46.2
Actinomadura kijaniata NBRC 14229,Bacteria;Terrabacteria group;Actinobacteria,GCA_001552175.1,10.2589,73.2
Paenibacillus ehimensis NBRC 15659,Bacteria;Terrabacteria group;Firmicutes,GCA_004000785.1,7.48615,54.2
Actinomadura latina NBRC 106108,Bacteria;Terrabacteria group;Actinobacteria,GCA_001552195.1,7.86765,72
Actinomadura macra NBRC 14102,Bacteria;Terrabacteria group;Actinobacteria,GCA_001552215.1,9.04635,70.7
Paenibacillus glycanilyticus NBRC 16618,Bacteria;Terrabacteria group;Firmicutes,GCA_004000805.1,6.88756,50.8
Paenibacillus kobensis NBRC 15729,Bacteria;Terrabacteria group;Firmicutes,GCA_004000825.1,6.46922,52.2
Actinomadura rubrobrunea NBRC 15275,Bacteria;Terrabacteria group;Actinobacteria,GCA_001552235.1,6.72417,72.8
Paenibacillus koleovorans NBRC 103111,Bacteria;Terrabacteria group;Firmicutes,GCA_004000845.1,7.54427,54.9
Alicyclobacillus kakegawensis NBRC 103104,Bacteria;Terrabacteria group;Firmicutes,GCA_001552655.1,3.42158,59.1
Alicyclobacillus sendaiensis NBRC 100866,Bacteria;Terrabacteria group;Firmicutes,GCA_001552675.1,2.79385,62.7
Alicyclobacillus shizuokensis NBRC 103103,Bacteria;Terrabacteria group;Firmicutes,GCA_001552255.1,3.62893,58.8
Actinomadura madurae,Bacteria;Terrabacteria group;Actinobacteria,GCA_900115095.1,10.2551,72.1
Gordonia amicalis CCMA-559,Bacteria;Terrabacteria group;Actinobacteria,GCA_000472025.1,5.17957,67.4
Sphingobacterium faecium,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_003054045.1,5.29679,36.3
Sphingobacterium mizutaii,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_900187125.1,4.65305,39.8
Delftia tsuruhatensis,Bacteria;Proteobacteria;Betaproteobacteria,GCA_001021565.1,5.73718,66.9
Flavihumibacter petaseus NBRC 106054,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_000974785.1,5.69352,49.3
Granulicoccus phenolivorans DSM 17626 = NBRC 107789 = JCM 15570,Bacteria;Terrabacteria group;Actinobacteria,GCA_001552335.1,4.06301,69.3
